earthquake_time,earthquake_latitude,earthquake_longitude,earthquake_depth,earthquake_magnitude,nearest_city_latitude,nearest_city_longitude,nearest_city_distance,historical_temp_available
2004-01-03T16:23:21.020Z,-22.253,169.683,22.0,7.1,-20.9,167.2667,292.0,no
2005-02-05T12:23:18.940Z,5.292999999999999,123.337,525.0,7.1,6.6294,124.6051,204.0,no
2005-03-02T10:42:12.230Z,-6.527,129.933,201.7,7.1,-3.7167,128.2,365.0,no
2005-03-28T16:09:36.530Z,2.085,97.10799999999999,30.0,8.6,1.75,98.8,192.0,no
2005-06-13T22:44:33.900Z,-19.987000000000002,-69.197,115.6,7.8,-20.2696,-69.8,70.0,yes
2005-06-15T02:50:54.190Z,41.292,-125.95299999999999,16.0,7.2,41.7728,-124.1902,156.0,yes
2005-07-24T15:42:06.210Z,7.92,92.19,16.0,7.2,11.667,92.736,419.0,no
2005-08-16T02:46:28.400Z,38.275999999999996,142.039,36.0,7.2,38.2871,141.0217,89.0,yes
2005-09-09T07:26:43.730Z,-4.539,153.474,90.0,7.6,-4.2055,152.1434,152.0,no
2005-09-26T01:55:37.670Z,-5.678,-76.398,115.0,7.5,-6.0496,-76.9667,75.0,no
2005-10-08T03:50:40.800Z,34.539,73.58800000000001,26.0,7.6,34.3418,73.1968,42.0,no
2005-11-14T21:38:51.420Z,38.107,144.89600000000002,11.0,7.0,38.2871,141.0217,340.0,yes
2006-01-02T06:10:49.760Z,-60.957,-21.605999999999998,13.0,7.4,-54.2806,-36.508,1154.0,yes
2006-01-02T22:13:40.490Z,-19.926,-178.178,582.9,7.2,-21.1385,-175.2206,336.0,yes
2006-01-27T16:58:53.670Z,-5.473,128.131,397.0,7.6,-3.7167,128.2,194.0,no
2006-02-22T22:19:07.800Z,-21.324,33.583,11.0,7.0,-21.5373,32.9564,69.0,no
2006-04-20T23:25:02.150Z,60.949,167.08900000000003,22.0,7.6,60.3321,165.8183,98.0,no
2006-05-03T15:26:40.290Z,-20.187,-174.123,55.0,8.0,-21.1385,-175.2206,155.0,no
2006-05-16T10:39:23.340Z,-31.81,-179.30700000000002,152.0,7.4,-35.2285,173.9507,732.0,no
2006-07-17T08:19:26.680Z,-9.283999999999999,107.419,20.0,7.7,-10.4167,105.7167,225.0,yes
2006-08-20T03:41:48.040Z,-61.028999999999996,-34.371,13.0,7.0,-54.2806,-36.508,762.0,no
2006-11-15T11:14:13.570Z,46.592,153.266,10.0,8.3,50.6905,156.085,501.0,no
2006-12-26T12:26:21.140Z,21.799,120.54700000000001,10.0,7.1,22.6333,120.2666,97.0,yes
2007-01-13T04:23:21.160Z,46.243,154.524,10.0,8.1,50.6905,156.085,508.0,no
2007-01-21T11:27:45.060Z,1.065,126.28200000000001,22.0,7.5,0.793,127.363,124.0,no
2007-03-25T00:40:01.610Z,-20.616999999999997,169.357,34.0,7.1,-19.5417,169.2817,119.0,no
2007-04-01T20:39:58.710Z,-8.466000000000001,157.043,24.0,8.1,-8.0996,156.835,47.0,no
2007-08-01T17:08:51.400Z,-15.595,167.68,120.0,7.2,-15.2869,167.9906,48.0,no
2007-08-08T17:05:04.920Z,-5.859,107.419,280.0,7.5,-6.2173,106.9723,63.0,yes
2007-08-15T23:40:57.890Z,-13.386,-76.60300000000001,39.0,8.0,-13.4196,-76.14,50.0,yes
2007-09-02T01:05:18.150Z,-11.61,165.762,35.0,7.2,-10.738,165.8567,97.0,no
2007-09-12T11:10:26.830Z,-4.438,101.367,34.0,8.4,-3.8,102.27,123.0,no
2007-09-12T23:49:03.720Z,-2.625,100.84100000000001,35.0,7.9,-2.0631,101.3964,88.0,no
2007-09-13T03:35:28.720Z,-2.13,99.62700000000001,22.0,7.0,-0.96,100.36,153.0,yes
2007-09-28T13:38:57.880Z,22.013,142.668,260.0,7.5,15.2137,145.7546,819.0,yes
2007-09-30T05:23:34.070Z,-49.271,164.115,10.0,7.4,-46.8876,168.1666,402.0,no
2007-10-31T03:30:15.960Z,18.9,145.388,207.0,7.2,15.2137,145.7546,410.0,yes
