time,latitude,longitude,depth,mag,magType
2018-12-29T03:39:09.740Z,5.8983,126.9209,60.21,7,mww
2018-12-20T17:01:55.150Z,55.0999,164.6993,16.56,7.3,mww
2018-12-11T02:26:29.420Z,-58.5446,-26.3856,133,7.1,mww
2018-12-05T04:18:08.420Z,-21.9496,169.4266,10,7.5,mww
2018-11-30T17:29:29.330Z,61.3464,-149.9552,46.7,7,mww
2018-10-10T20:48:20.100Z,-5.7012,151.2046,39,7,mww
2018-09-28T10:02:45.250Z,-0.2559,119.8462,20,7.5,mww
2018-09-06T15:49:18.710Z,-18.4743,179.3502,670.81,7.9,mww
2018-08-29T03:51:56.100Z,-22.0295,170.1262,21.43,7.1,mww
2018-08-24T09:04:08.250Z,-11.0355,-70.8284,630,7.1,mww
2018-08-21T21:31:47.600Z,10.7731,-62.9019,146.82,7.3,mww
2018-08-19T00:19:40.670Z,-18.1125,-178.153,600,8.2,mww
2018-02-25T17:44:44.140Z,-6.0699,142.7536,25.21,7.5,mww
2018-02-16T23:39:39.280Z,16.3855,-97.9787,22,7.2,mww
2018-01-23T09:31:40.890Z,56.0039,-149.1658,14.06,7.9,mww
2018-01-14T09:18:45.540Z,-15.7675,-74.7092,39,7.1,mww
2018-01-10T02:51:33.290Z,17.4825,-83.52,19,7.5,mww
2017-11-19T22:43:29.250Z,-21.3246,168.6715,10,7,mww
2017-11-12T18:18:17.180Z,34.9109,45.9592,19,7.3,mww
2017-09-19T18:14:38.090Z,18.5499,-98.4887,48,7.1,mww
2017-09-08T04:49:19.180Z,15.0222,-93.8993,47.39,8.2,mww
2017-07-17T23:34:13.740Z,54.4434,168.857,10,7.7,mww
2017-01-22T04:30:22.960Z,-6.2464,155.1718,135,7.9,mww
2017-01-10T06:13:48.140Z,4.4782,122.6171,627.17,7.3,mww
2016-12-25T14:22:27.010Z,-43.4064,-73.9413,38,7.6,mww
2016-12-17T10:51:10.500Z,-4.5049,153.5216,94.54,7.9,mww
2016-12-08T17:38:46.280Z,-10.6812,161.3273,40,7.8,mww
2016-11-13T11:02:56.340Z,-42.7373,173.054,15.11,7.8,mww
2016-09-01T16:37:57.300Z,-37.3586,179.1461,19,7,mww
2016-08-29T04:29:57.860Z,-0.0456,-17.8255,10,7.1,mww
2016-08-19T07:32:22.710Z,-55.2852,-31.8766,10,7.4,mww
2016-08-12T01:26:36.280Z,-22.4765,173.1167,16.37,7.2,mww
2016-07-29T21:18:24.740Z,18.5429,145.5073,196,7.7,mww
2016-05-28T09:46:59.780Z,-56.2409,-26.9353,78,7.2,mww
2016-04-28T19:33:24.070Z,-16.0429,167.3786,24,7,mww
2016-04-16T23:58:36.980Z,0.3819,-79.9218,20.59,7.8,mww
2016-04-15T16:25:06.220Z,32.7906,130.7543,10,7,mww
2016-03-02T12:49:48.110Z,-4.9521,94.3299,24,7.8,mww
2016-01-30T03:25:12.220Z,53.9776,158.5463,177,7.2,mww
2016-01-24T10:30:30.230Z,59.6363,-153.4051,129,7.1,mww
2015-12-07T07:50:05.950Z,38.2107,72.7797,22,7.2,mww
2015-12-04T22:25:00.110Z,-47.6165,85.0913,35,7.1,mww
2015-11-24T22:50:54.370Z,-10.0598,-71.0184,620.56,7.6,mww
2015-11-24T22:45:38.880Z,-10.5372,-70.9437,606.21,7.6,mww
2015-10-26T09:09:42.560Z,36.5244,70.3676,231,7.5,mww
2015-10-20T21:52:02.560Z,-14.8595,167.3028,135,7.1,mww
2015-09-16T23:18:41.850Z,-31.5622,-71.4262,28.41,7,mww
2015-09-16T22:54:32.860Z,-31.5729,-71.6744,22.44,8.3,mww
2015-07-27T21:41:21.710Z,-2.6286,138.5277,48,7,mww
2015-07-18T02:27:33.820Z,-10.4012,165.1409,11,7,mww
2015-06-17T12:51:32.790Z,-35.3639,-17.1605,10,7,mww
2015-05-30T11:23:02.110Z,27.8386,140.4931,664,7.8,mww
2015-05-12T07:05:19.730Z,27.8087,86.0655,15,7.3,mww
2015-05-07T07:10:19.590Z,-7.2175,154.5567,10,7.1,mww
2015-05-05T01:44:06.380Z,-5.4624,151.8751,55,7.5,mww
2015-04-25T06:11:25.950Z,28.2305,84.7314,8.22,7.8,mww
2015-03-29T23:48:31.010Z,-4.7294,152.5623,41,7.5,mww
2015-02-27T13:45:05.370Z,-7.2968,122.5348,552.06,7,mww
2015-02-13T18:59:12.230Z,52.6487,-31.9016,16.68,7.1,mww
2014-11-15T02:31:41.720Z,1.8929,126.5217,45,7.1,mww
2014-11-01T18:57:22.380Z,-19.6903,-177.7587,434,7.1,mww
2014-10-14T03:51:34.460Z,12.5262,-88.1225,40,7.3,mww
2014-10-09T02:14:31.440Z,-32.1082,-110.8112,16.54,7,mww
2014-06-23T20:53:09.700Z,51.8486,178.7352,109,7.9,mww
2014-04-19T13:28:00.810Z,-6.7547,155.0241,43.37,7.5,mww
2014-04-18T14:27:24.920Z,17.397,-100.9723,24,7.2,mww
2014-04-13T12:36:19.230Z,-11.4633,162.0511,39,7.4,mww
2014-04-12T20:14:39.300Z,-11.2701,162.1481,22.56,7.6,mww
2014-04-11T07:07:23.130Z,-6.5858,155.0485,60.53,7.1,mww
2014-04-03T02:43:13.110Z,-20.5709,-70.4931,22.4,7.7,mww
2014-04-01T23:46:47.260Z,-19.6097,-70.7691,25,8.2,mww
2013-11-25T06:27:33.300Z,-53.9451,-55.0033,11.78,7,mww
2013-11-17T09:04:55.530Z,-60.2738,-46.4011,10,7.7,mww
2013-10-25T17:10:19.710Z,37.1557,144.6611,35,7.1,mww
2013-10-15T00:12:32.050Z,9.8796,124.1167,19.04,7.1,mww
2013-09-25T16:42:43.170Z,-15.8385,-74.5112,40,7.1,mww
2013-09-24T11:29:47.970Z,26.951,65.5009,15,7.7,mww
2013-08-30T16:25:02.300Z,51.537,-175.2297,29,7,mww
2013-07-15T14:03:39.880Z,-60.857,-25.07,11,7.3,mww
2013-07-07T18:35:30.740Z,-3.917,153.927,385.5,7.3,mww
2013-05-24T05:44:48.980Z,54.892,153.221,598.1,8.3,mww
2013-05-23T17:19:04.750Z,-23.009,-177.232,173.7,7.4,mww
2013-04-19T03:05:52.650Z,46.221,150.788,110,7.2,mww
2013-04-16T10:44:20.180Z,28.033,61.996,80,7.7,mww
2013-04-06T04:42:35.860Z,-3.517,138.476,66,7,mww
2013-02-08T15:26:38.470Z,-10.928,166.018,21,7.1,mww
2013-02-06T01:54:14.610Z,-10.499,165.588,8.8,7,mww
